seed,n_ind,n_cells_controls,n_cells_controls_i,method,type_1_err,MCC
238,20,179,172,GLMM_tweedie,0.032435129740519,0.902234293881143
238,20,179,172,GEE1,0.0683632734530938,0.871822169786765
238,20,179,172,Pseudobulk_mean,0.0224550898203593,0.936182697171102
238,20,179,172,Pseudobulk_sum,0.0444111776447106,0.919172657981476
238,20,179,172,Monocle,0.26497005988024,0.764239038945182
238,20,179,172,ROTS,0.315369261477046,0.705637370029855
2851,20,182,216,MAST,0.41985111662531,0.195345601184597
2851,20,182,216,MAST_RE,0.0506203473945409,0.590970827221217
2851,20,182,216,MAST_Combat,0.789473684210526,-0.169713314267867
2851,20,182,216,GLM_tweedie,0.0892504930966469,0.855539007900711
2851,20,182,216,GLMM_tweedie,0.0419132149901381,0.894569004705356
2851,20,182,216,GEE1,0.0788954635108481,0.86757082503338
2851,20,182,216,Pseudobulk_mean,0.0251479289940828,0.931088111442593
2851,20,182,216,Pseudobulk_sum,0.817061143984221,0.285736478993214
2851,20,182,216,Monocle,0.269230769230769,0.766516806207698
2851,20,182,216,ROTS,0.341715976331361,0.678989408932036
3323,20,183,183,MAST,0.375438596491228,0.272873613154155
3323,20,183,183,MAST_RE,0.0506265664160401,0.619419350674257
3323,20,183,183,MAST_Combat,0.75177304964539,-0.0756421994102612
3323,20,183,183,GLM_tweedie,0.0809736711376056,0.852096801783491
3323,20,183,183,GLMM_tweedie,0.0312965722801788,0.895179862479138
3323,20,183,183,GEE1,0.0571286636860407,0.87583829189205
3323,20,183,183,Pseudobulk_mean,0.0218579234972678,0.9337385476875
3323,20,183,183,Pseudobulk_sum,0.0784898161947342,0.887669940056514
3323,20,183,183,Monocle,0.249379036264282,0.779723150770791
3323,20,183,183,ROTS,0.321410829607551,0.685198028995941
5087,20,184,211,MAST,0.388916378030678,0.244592734680908
5087,20,184,211,MAST_RE,0.0479960415635824,0.603935220599321
5087,20,184,211,MAST_Combat,0.756608478802993,-0.129075325324552
5087,20,184,211,GLM_tweedie,0.0945812807881773,0.859254618094033
5087,20,184,211,GLMM_tweedie,0.0408866995073892,0.90061971349842
5087,20,184,211,GEE1,0.0689655172413793,0.882678108964545
5087,20,184,211,Pseudobulk_mean,0.0226600985221675,0.938781958424183
5087,20,184,211,Pseudobulk_sum,0.34679802955665,0.669981483521425
5087,20,184,211,Monocle,0.268965517241379,0.764519101344128
5087,20,184,211,ROTS,0.324630541871921,0.695983341325536
5218,20,187,352,MAST,0.429345150172329,0.192994866285804
5218,20,187,352,MAST_RE,0.0487444608567208,0.602158222965989
5218,20,187,352,MAST_Combat,0.756327543424318,-0.126972402984973
5218,20,187,352,GLM_tweedie,0.108174253548703,0.840824433475603
5218,20,187,352,GLMM_tweedie,0.0455212922173275,0.897048667694593
5218,20,187,352,GEE1,0.0714635340186001,0.878013717369982
5218,20,187,352,Pseudobulk_mean,0.02153696,0.937329
5218,20,187,352,Pseudobulk_sum,1,-0.1077519
5218,20,187,352,Monocle,0.302985805188448,0.734083534867358
5218,20,187,352,ROTS,0.352422907488987,0.678333647527121
1291,20,192,67,MAST,0.264179104477612,0.441293129317283
1291,20,192,67,MAST_RE,0.0517412935323383,0.668950548965397
1291,20,192,67,MAST_Combat,0.657748611812216,0.13971870792355
1291,20,192,67,GLM_tweedie,0.0587944664031621,0.831594068911805
1291,20,192,67,GLMM_tweedie,0.0345849802371542,0.852896699777811
1291,20,192,67,GEE1,0.0701581027667984,0.839849715075032
1291,20,192,67,Pseudobulk_mean,0.0345849802371542,0.916117839875325
1291,20,192,67,Pseudobulk_sum,0.999505928853755,-0.27842648333729
1291,20,192,67,Monocle,0.181324110671937,0.832613170110544
1291,20,192,67,ROTS,0.234189723320158,0.747011450701443
3121,20,217,78,MAST,0.272819472616633,0.408472287840761
3121,20,217,78,MAST_RE,0.0400608519269777,0.662328296886876
3121,20,217,78,MAST_Combat,0.707842132239877,0.065655988242565
3121,20,217,78,GLM_tweedie,0.0523929471032746,0.857958419091568
3121,20,217,78,GLMM_tweedie,0.0287153652392947,0.874965716272416
3121,20,217,78,GEE1,0.0619647355163728,0.859146820650278
3121,20,217,78,Pseudobulk_mean,0.0201511335012594,0.929279136193382
3121,20,217,78,Pseudobulk_sum,1,-0.261301446032904
3121,20,217,78,Monocle,0.190428211586902,0.826769147409173
3121,20,217,78,ROTS,0.23727959697733,0.749863792126492
4646,20,234,161,MAST,0.389984825493172,0.269412806773364
4646,20,234,161,MAST_RE,0.0571573090541224,0.621322960969416
4646,20,234,161,MAST_Combat,0.760836308006119,-0.07132522006792
4646,20,234,161,GLM_tweedie,0.0868038133467135,0.850936269553298
4646,20,234,161,GLMM_tweedie,0.0386352232814852,0.893204091866549
4646,20,234,161,GEE1,0.0672353236327145,0.872440902471609
4646,20,234,161,Pseudobulk_mean,0.0230807827395886,0.931578279402472
4646,20,234,161,Pseudobulk_sum,0.990466633216257,-0.0687362683198734
4646,20,234,161,Monocle,0.258404415454089,0.772953599645675
4646,20,234,161,ROTS,0.335173105870547,0.690215776564044
4578,20,240,129,MAST,0.349950149551346,0.335340744526842
4578,20,240,129,MAST_RE,0.0508474576271187,0.651674292453307
4578,20,240,129,MAST_Combat,0.726814516129032,0.0257046721007027
4578,20,240,129,GLM_tweedie,0.0802377414561664,0.86270000372519
4578,20,240,129,GLMM_tweedie,0.037147102526003,0.901061271474632
4578,20,240,129,GEE1,0.062407132243685,0.88445634668368
4578,20,240,129,Pseudobulk_mean,0.0183259039128281,0.943000286783543
4578,20,240,129,Pseudobulk_sum,0.999504705299653,-0.13990006532641
4578,20,240,129,Monocle,0.238732045567112,0.78662546092412
4578,20,240,129,ROTS,0.304110946012878,0.713579873148319
4347,20,245,103,MAST,0.327533265097236,0.353908282959838
4347,20,245,103,MAST_RE,0.0573183213920164,0.640694579048592
4347,20,245,103,MAST_Combat,0.743523316062176,0.0245443620481637
4347,20,245,103,GLM_tweedie,0.079735906551549,0.835774332122231
4347,20,245,103,GLMM_tweedie,0.037074657186389,0.87359929181049
4347,20,245,103,GEE1,0.0700863382427628,0.853611934163574
4347,20,245,103,Pseudobulk_mean,0.0228542407313357,0.931450875205445
4347,20,245,103,Pseudobulk_sum,0.999492127983748,-0.209661173978525
4347,20,245,103,Monocle,0.239207719654647,0.786020136497416
4347,20,245,103,ROTS,0.281361097003555,0.72412501693559
1431,20,248,304,MAST,0.46686899342438,0.159673558587921
1431,20,248,304,MAST_RE,0.0561456752655539,0.592494133599846
1431,20,248,304,MAST_Combat,0.788725241239208,-0.162736669950239
1431,20,248,304,GLM_tweedie,0.105130784708249,0.844254871563774
1431,20,248,304,GLMM_tweedie,0.0487927565392354,0.89275389645284
1431,20,248,304,GEE1,0.06841046277666,0.878818298514218
1431,20,248,304,Pseudobulk_mean,0.0251509054325956,0.929661206788914
1431,20,248,304,Pseudobulk_sum,0.733903420523139,0.352734674911927
1431,20,248,304,Monocle,0.32092555331992,0.726366004908353
1431,20,248,304,ROTS,0.386317907444668,0.651847117640647
9423,20,256,203,MAST,0.406051732552465,0.248729930806152
9423,20,256,203,MAST_RE,0.0556368960468521,0.621993033649972
9423,20,256,203,MAST_Combat,0.768664047151277,-0.100975340876755
9423,20,256,203,GLM_tweedie,0.107021791767554,0.838193296834771
9423,20,256,203,GLMM_tweedie,0.0406779661016949,0.895936832708462
9423,20,256,203,GEE1,0.0658595641646489,0.877162437290096
9423,20,256,203,Pseudobulk_mean,0.0193704600484262,0.937959055618837
9423,20,256,203,Pseudobulk_sum,0.892978208232446,0.188056625711311
9423,20,256,203,Monocle,0.309927360774818,0.723315854091933
9423,20,256,203,ROTS,0.341888619854722,0.678722235530749
2038,20,258,266,MAST,0.410169491525424,0.228135865320924
2038,20,258,266,MAST_RE,0.0382566585956416,0.627665592027841
2038,20,258,266,MAST_Combat,0.788499025341131,-0.11375495681286
2038,20,258,266,GLM_tweedie,0.082771896053898,0.866274488500846
2038,20,258,266,GLMM_tweedie,0.0274302213666988,0.915666177616206
2038,20,258,266,GEE1,0.0534167468719923,0.897073877932215
2038,20,258,266,Pseudobulk_mean,0.0153994225216554,0.941404189847777
2038,20,258,266,Pseudobulk_sum,0.0803657362848893,0.886039433844543
2038,20,258,266,Monocle,0.29451395572666,0.741061337609997
2038,20,258,266,ROTS,0.346005774783446,0.684081908790328
6770,20,258,49,MAST,0.237599206349206,0.476870538620997
6770,20,258,49,MAST_RE,0.0461080813088746,0.684793592491248
6770,20,258,49,MAST_Combat,0.62898406374502,0.128383485493422
6770,20,258,49,GLM_tweedie,0.0412573673870334,0.831250572594569
6770,20,258,49,GLMM_tweedie,0.0201375245579568,0.850223617439028
6770,20,258,49,GEE1,0.0717092337917485,0.829212917546244
6770,20,258,49,Pseudobulk_mean,0.0324165029469548,0.913673420354664
6770,20,258,49,Pseudobulk_sum,1,-0.294200172205126
6770,20,258,49,Monocle,0.164538310412574,0.844671562828667
6770,20,258,49,ROTS,0.209233791748527,0.765528564222097
6802,20,269,125,MAST,0.351020408163265,0.312352385847455
6802,20,269,125,MAST_RE,0.0474489795918367,0.634781680906487
6802,20,269,125,MAST_Combat,0.734262125902993,0.00605218473434922
6802,20,269,125,GLM_tweedie,0.0780933062880325,0.85445300031597
6802,20,269,125,GLMM_tweedie,0.0309330628803245,0.896759316608057
6802,20,269,125,GEE1,0.0623732251521298,0.875538685969822
6802,20,269,125,Pseudobulk_mean,0.0243407707910751,0.931630769447684
6802,20,269,125,Pseudobulk_sum,1,-0.176775450263198
6802,20,269,125,Monocle,0.240365111561866,0.785283547236171
6802,20,269,125,ROTS,0.296653144016227,0.716064476934086
2988,20,280,158,MAST,0.38720703125,0.269461734795605
2988,20,280,158,MAST_RE,0.05517578125,0.622938625999768
2988,20,280,158,MAST_Combat,0.763923114834894,-0.0514813178114789
2988,20,280,158,GLM_tweedie,0.0901162790697674,0.842308177544193
2988,20,280,158,GLMM_tweedie,0.0387596899224806,0.885575038272272
2988,20,280,158,GEE1,0.0717054263565892,0.860463139691349
2988,20,280,158,Pseudobulk_mean,0.0208333333333333,0.932527199285702
2988,20,280,158,Pseudobulk_sum,0.999515503875969,-0.140900325053091
2988,20,280,158,Monocle,0.266957364341085,0.764215582408074
2988,20,280,158,ROTS,0.329941860465116,0.692342451621607
453,20,283,168,MAST,0.406862745098039,0.288703233552773
453,20,283,168,MAST_RE,0.0568627450980392,0.653811595013706
453,20,283,168,MAST_Combat,0.788299454635598,-0.0651189603937205
453,20,283,168,GLM_tweedie,0.0920155793573515,0.849040004093607
453,20,283,168,GLMM_tweedie,0.0374878286270691,0.899246445038251
453,20,283,168,GEE1,0.0618305744888023,0.880884890387163
453,20,283,168,Pseudobulk_mean,0.0253164556962025,0.936572789230782
453,20,283,168,Pseudobulk_sum,0.999513145082765,-0.12318025886355
453,20,283,168,Monocle,0.29016553067186,0.744307298775985
453,20,283,168,ROTS,0.332521908471276,0.690828659105363
8255,20,283,71,MAST,0.308521057786484,0.405333514719815
8255,20,283,71,MAST_RE,0.0626836434867777,0.667127849555361
8255,20,283,71,MAST_Combat,0.67591674925669,0.135009346419351
8255,20,283,71,GLM_tweedie,0.0729571984435798,0.846573242738195
8255,20,283,71,GLMM_tweedie,0.0306420233463035,0.884757676295976
8255,20,283,71,GEE1,0.066147859922179,0.8585073737119
8255,20,283,71,Pseudobulk_mean,0.0321011673151751,0.925237700034495
8255,20,283,71,Pseudobulk_sum,1,-0.312761723716075
8255,20,283,71,Monocle,0.200875486381323,0.814511837922215
8255,20,283,71,ROTS,0.248054474708171,0.731928499911638
1367,20,312,82,MAST,0.317097919837646,0.395293359106053
1367,20,312,82,MAST_RE,0.0436326737696601,0.683920661671056
1367,20,312,82,MAST_Combat,0.712012320328542,0.0889663906214547
1367,20,312,82,GLM_tweedie,0.0617469879518072,0.84114441103434
1367,20,312,82,GLMM_tweedie,0.0261044176706827,0.87225632524935
1367,20,312,82,GEE1,0.0642570281124498,0.85208013859049
1367,20,312,82,Pseudobulk_mean,0.0230923694779116,0.925636910937358
1367,20,312,82,Pseudobulk_sum,1,-0.313635246962301
1367,20,312,82,Monocle,0.218875502008032,0.798230131345049
1367,20,312,82,ROTS,0.268072289156627,0.726510799735535
5567,20,329,219,MAST,0.443564356435644,0.21451933486809
5567,20,329,219,MAST_RE,0.0584158415841584,0.62061893373308
5567,20,329,219,MAST_Combat,0.793346774193548,-0.085507892098718
5567,20,329,219,GLM_tweedie,0.106015779092702,0.844927394011459
5567,20,329,219,GLMM_tweedie,0.0424063116370809,0.901071357742151
5567,20,329,219,GEE1,0.0670611439842209,0.883749269266016
5567,20,329,219,Pseudobulk_mean,0.022189349112426,0.936395808787202
5567,20,329,219,Pseudobulk_sum,0.997041420118343,-0.079635947813749
5567,20,329,219,Monocle,0.312130177514793,0.726186861534464
5567,20,329,219,ROTS,0.368343195266272,0.658646203589578
3656,20,337,154,MAST,0.403973509933775,0.291448485287786
3656,20,337,154,MAST_RE,0.0525070955534532,0.66206654455775
3656,20,337,154,MAST_Combat,0.77989518818485,-0.0127161492430979
3656,20,337,154,GLM_tweedie,0.0885539331135186,0.848974018306327
3656,20,337,154,GLMM_tweedie,0.0372114931700424,0.896687739624585
3656,20,337,154,GEE1,0.0617051342439943,0.876268772056532
3656,20,337,154,Pseudobulk_mean,0.0164861045690061,0.936282706072144
3656,20,337,154,Pseudobulk_sum,1,-0.173033599206541
3656,20,337,154,Monocle,0.269430051813472,0.758254265236485
3656,20,337,154,ROTS,0.319830428638719,0.692775031252938
3185,20,338,85,MAST,0.304609218436874,0.410913126905643
3185,20,338,85,MAST_RE,0.0531062124248497,0.677730170594127
3185,20,338,85,MAST_Combat,0.700050838840874,0.094028431225898
3185,20,338,85,GLM_tweedie,0.0675273088381331,0.848476599975101
3185,20,338,85,GLMM_tweedie,0.0278053624627607,0.883066780406861
3185,20,338,85,GEE1,0.064051638530288,0.858050536326447
3185,20,338,85,Pseudobulk_mean,0.0203574975173784,0.927351716428116
3185,20,338,85,Pseudobulk_sum,1,-0.306492625271142
3185,20,338,85,Monocle,0.211519364448858,0.806875888723291
3185,20,338,85,ROTS,0.252234359483615,0.743089070394542
4814,20,490,293,MAST,0.492292391844853,0.205171491772439
4814,20,490,293,MAST_RE,0.0467429139731477,0.66370066285576
4814,20,490,293,MAST_Combat,0.810094952523738,-0.0513184260805551
4814,20,490,293,GLM_tweedie,0.118635689569946,0.843425622485461
4814,20,490,293,GLMM_tweedie,0.0400395452298567,0.910034740906744
4814,20,490,293,GEE1,0.0538803756796836,0.899994595165704
4814,20,490,293,Pseudobulk_mean,0.0133465150766189,0.940284526212898
4814,20,490,293,Pseudobulk_sum,1,-0.10815989542935
4814,20,490,293,Monocle,0.357884330202669,0.693534618481273
4814,20,490,293,ROTS,0.402372713791399,0.643158204393885
4583,20,62,168,MAST,0.266801414855988,0.31282003769395
4583,20,62,168,MAST_RE,0.0530570995452249,0.555627154242573
4583,20,62,168,MAST_Combat,0.668545081967213,-0.0777467067465256
4583,20,62,168,GLM_tweedie,0.0639041437843235,0.849618326484177
4583,20,62,168,GLMM_tweedie,0.0334498252621068,0.877353463490269
4583,20,62,168,GEE1,0.0668996505242137,0.850792975676891
4583,20,62,168,Pseudobulk_mean,0.0259610584123814,0.932678343606552
4583,20,62,168,Pseudobulk_sum,1,-0.179974472362711
4583,20,62,168,Monocle,0.176235646530205,0.839071060383363
4583,20,62,168,ROTS,0.227159261108338,0.745019834241835
3327,20,64,190,MAST,0.253266331658291,0.344798355464701
3327,20,64,190,MAST_RE,0.0442211055276382,0.582735503070276
3327,20,64,190,MAST_Combat,0.688199389623601,-0.105594411846011
