seed,n_ind,n_cells,method,type_1_err,MCC
1202,10,100,MAST,0.270120724346076,0.361869071780019
1202,10,100,MAST_RE,0.0613682092555332,0.59086330914683
1202,10,100,MAST_Combat,0.705792682926829,-0.029307438843101
1202,10,100,GLM_tweedie,0.0624380574826561,0.803388029178948
1202,10,100,GLMM_tweedie,0.0292368681863231,0.827160191716014
1202,10,100,GEE1,0.0748265609514371,0.80977434233925
1202,10,100,Pseudobulk_mean,0.0277502477700694,0.925303799817105
1202,10,100,Pseudobulk_sum,0.100594648166501,0.858536605680019
1202,10,100,Monocle,0.1798810703667,0.834091410760157
1202,10,100,ROTS,0.236868186323092,0.726440976408279
1226,10,100,MAST,0.276185770750988,0.383374946874311
1226,10,100,MAST_RE,0.0578063241106719,0.62397789162036
1226,10,100,MAST_Combat,0.697348674337169,0.00842176548641563
1226,10,100,GLM_tweedie,0.0673828125,0.783745454945759
1226,10,100,GLMM_tweedie,0.0341796875,0.81043071401379
1226,10,100,GEE1,0.0751953125,0.794635729676346
1226,10,100,Pseudobulk_mean,0.02783203125,0.918276730673441
1226,10,100,Pseudobulk_sum,0.03271484375,0.915274624489405
1226,10,100,Monocle,0.18408203125,0.823362579876965
1226,10,100,ROTS,0.23046875,0.759807280503977
1251,10,100,MAST,0.269902912621359,0.379900053730939
1251,10,100,MAST_RE,0.0567961165048544,0.615341884924299
1251,10,100,MAST_Combat,0.700440528634361,-0.0307643838780703
1251,10,100,GLM_tweedie,0.054571565342269,0.816485865327017
1251,10,100,GLMM_tweedie,0.0296792723791288,0.832573558743462
1251,10,100,GEE1,0.0751555768310196,0.808051275582726
1251,10,100,Pseudobulk_mean,0.0296792723791288,0.92042904437827
1251,10,100,Pseudobulk_sum,0.0473910962182863,0.902073771820761
1251,10,100,Monocle,0.176639540449976,0.834927021239505
1251,10,100,ROTS,0.233125897558641,0.727027756361634
1322,10,100,MAST,0.243753187149414,0.383715374058237
1322,10,100,MAST_RE,0.0499745028046915,0.601957638698432
1322,10,100,MAST_Combat,0.681841696844284,-0.084130049646979
1322,10,100,GLM_tweedie,0.06265664160401,0.796849858817275
1322,10,100,GLMM_tweedie,0.0330827067669173,0.821269546431235
1322,10,100,GEE1,0.0791979949874687,0.802488169823861
1322,10,100,Pseudobulk_mean,0.0230576441102757,0.91932549408705
1322,10,100,Pseudobulk_sum,0.0786967418546366,0.868273083322844
1322,10,100,Monocle,0.170927318295739,0.840835796324591
1322,10,100,ROTS,0.230075187969925,0.752038583209909
1422,10,100,MAST,0.264420622766718,0.372311172167475
1422,10,100,MAST_RE,0.0490045941807045,0.610234454094223
1422,10,100,MAST_Combat,0.690599173553719,-0.0295357377894508
1422,10,100,GLM_tweedie,0.060575466935891,0.801859336772112
1422,10,100,GLMM_tweedie,0.0272589601211509,0.824839597151936
1422,10,100,GEE1,0.0777385159010601,0.797367603345816
1422,10,100,Pseudobulk_mean,0.0181726400807673,0.927726385540841
1422,10,100,Pseudobulk_sum,0.0595658758202928,0.891677038464822
1422,10,100,Monocle,0.184755174154467,0.830613779477983
1422,10,100,ROTS,0.229681978798587,0.73941351726334
1528,10,100,MAST,0.2854369,0.3588223
1528,10,100,MAST_RE,0.0456754130223518,0.626759076857836
1528,10,100,MAST_Combat,0.675049309664694,0.0180523742624957
1528,10,100,GLM_tweedie,0.0553416746871992,0.801628590497873
1528,10,100,GLMM_tweedie,0.0240615976900866,0.82948449515382
1528,10,100,GEE1,0.0668912415784408,0.816585307628915
1528,10,100,Pseudobulk_mean,0.0259865255052936,0.920972565139461
1528,10,100,Pseudobulk_sum,0.0582290664100096,0.893058667033814
1528,10,100,Monocle,0.179499518768046,0.825967255395776
1528,10,100,ROTS,0.224735322425409,0.724368182614104
1692,10,100,MAST,0.27808287568647,0.361983339144658
1692,10,100,MAST_RE,0.046953046953047,0.617020357890269
1692,10,100,MAST_Combat,0.712044534412955,-0.0395876996472359
1692,10,100,GLM_tweedie,0.0652600588812561,0.795621679916412
1692,10,100,GLMM_tweedie,0.0304219823356232,0.818529950232566
1692,10,100,GEE1,0.0775269872423945,0.797154966323034
1692,10,100,Pseudobulk_mean,0.0255152109911678,0.922748775640102
1692,10,100,Pseudobulk_sum,0.0745829244357213,0.879720279832973
1692,10,100,Monocle,0.175171736997056,0.837007570251662
1692,10,100,ROTS,0.233071638861629,0.747560985080663
1694,10,100,MAST,0.266165413533835,0.360303493517239
1694,10,100,MAST_RE,0.0556390977443609,0.595711041713932
1694,10,100,MAST_Combat,0.709497206703911,-0.071466292577386
1694,10,100,GLM_tweedie,0.0564077189510144,0.801944654778007
1694,10,100,GLMM_tweedie,0.0296882731321128,0.822745551468587
1694,10,100,GEE1,0.0811479465611084,0.799678275434813
1694,10,100,Pseudobulk_mean,0.0277090549233053,0.921260097156352
1694,10,100,Pseudobulk_sum,0.0336467095497279,0.916846137465668
1694,10,100,Monocle,0.173181593270658,0.836761146226118
1694,10,100,ROTS,0.224146462147452,0.763588359121627
1965,10,100,MAST,0.278031456113648,0.352729893450032
1965,10,100,MAST_RE,0.0502283105022831,0.604687989826675
1965,10,100,MAST_Combat,0.691440287032291,-0.0332900012697611
1965,10,100,GLM_tweedie,0.0546365914786967,0.79902094350766
1965,10,100,GLMM_tweedie,0.0285714285714286,0.816598305620938
1965,10,100,GEE1,0.0867167919799499,0.786250292274003
1965,10,100,Pseudobulk_mean,0.0270676691729323,0.919288899170974
1965,10,100,Pseudobulk_sum,0.0566416040100251,0.892733672922385
1965,10,100,Monocle,0.188972431077694,0.82249015972746
